colours__name,colours__hex
536 C,#a2b2c8
2122 C,#9baee4
7443 C,#dddae8
5425 C,#7a99ac
645 C,#7da1c4
Cool Gray 2 U,#cacac8
451 C,#9b945f
452 U,#a8a687
7535 C,#b7b09c
7534 C,#d1ccbd
451 U,#929172
5585 C,#a7bdb1
407 C,#b2a8a2
5155 U,#b99eb2
5205 C,#86647a
506 U,#9a6372
4735 U,#bda195
5005 U,#b28a90
7614 C,#a37f74
7639 U,#a0858a
5215 C,#af95a6
5295 U,#b1afc3
7445 C,#a7a2c3
7681 C,#94a9cb
2716 C,#9faee5
2107 C,#9099ba
2113 C,#a5b0e3
130 U,#f79b2e
7413 C,#dc8633
472 C,#e59e6d
7579 C,#dc582a
717 U,#d77540
159 U,#c97146
1495 U,#ff9351
7576 C,#db864e
7572 C,#b67233
7508 U,#e0b384
3588 C,#fe8f1d
466 U,#c1a67f
1255 U,#a08246
7586 C,#9e5330
466 C,#c6aa76
7564 U,#de9858
484 U,#a05b4e
7524 C,#a45248
7587 C,#924c2e
7593 C,#9d432c
729 C,#b58150
467 U,#d2ba92
726 U,#e8c6a9
7566 U,#ae7b5e
7510 C,#c6893f
4665 C,#cda788
7548 U,#ffc915
129 U,#faaf3f
121 U,#ffcc52
148 U,#ffc688
116 C,#ffcd00
1375 C,#ff9e1b
7563 U,#daa563
715 U,#f99963
7634 U,#c77d92
695 U,#ac7680
205 C,#e0457b
493 U,#c77c89
263 C,#d7c6e6
705 C,#f5dadf
671 C,#e6bcd8
500 C,#c6858f
225 U,#ea60a7
7433 C,#a73a64
7634 C,#c16784
507 C,#d592aa
674 U,#cd72a1
7424 C,#e24585
7635 U,#cd627d
7424 U,#d9577d
214 U,#d1517a
681 U,#a5708d
680 U,#c08ba9
701 C,#E68699
7586 U,#a2715d
7525 C,#9a6a4f
7585 U,#b67965
7640 U,#9b6673
479 C,#aa8066
4725 C,#ae8a79
7587 U,#996e5c
500 U,#bd898f
5005 C,#b07c83
7605 C,#e1bbb4
4735 C,#c0a392
198 C,#df4661
7612 C,#ca9a8e
7607 U,#cb867f
489 C,#ecc3b2
Process Cyan C,#009fdf
303 C,#002a3a
285 C,#0072ce
711 C,#cb2c30
101 C,#f7ea48
604 C,#eada24
187 C,#a6192e
7462 C,#00558c
7461 C,#007dba
2905 C,#8dc8e8
291 C,#9bcbeb
297 C,#71c5e8
7416 C,#e56a54
186 C,#e4002b
158 C,#e87722
374 C,#c7e995
7463 C,#002b49
7691 C,#006298
7688 C,#4698cb
4535 C,#cfc493
3035 C,#003e51
2718 C,#6a87d8
484 C,#9A3324
8382 C,#9C8F69
1797 C,#CB333B
144 C,#ED8B00
166 C,#E35205
413 C,#BABBB1
Rapha Plum,#621244
Cream,#F2E8DA
Sage Green,#A5B99C
Stone,#D2BA92
Turmeric,#F79B2F
Dark Olive,#585C3B
Paprika,#CF4520
Grey Blue,#5C6D7C
Light Blue Grey,#AEB2B5
Black 7 C,#3D3935
5605 C,#1D3C34
7459 C,#4298B5
7696 C,#6399AE
5285 C,#8D89A5
486 C,#E8927C
487 C,#EAA794
266 C,#753BBD
2292 C,#93C90F
320 U,#008C95
Magenta,#ff3eb5
